Parameters: 2669854
Epoch	Loss(Tr)	Loss(val)	Loss(Ts)	Loss(Tr)std	Loss(val)std	Loss(Ts)std	Loss(0_1)	Loss(0_2)	Loss(0_3)	Loss(0_1)std	Loss(0_2)std	Loss(0_3)std	SNR(Tr_i_t)	SNR(val_i_t)	SNR(Ts_i_t)	SNR(Tr_i_t)std	SNR(val_i_t)std	SNR(Ts_i_t)std	SNR(Tr_i_o)	SNR(val_i_o)	SNR(Ts_i_o)	SNR(Tr_i_o)std	SNR(val_i_o)std	SNR(Ts_i_o)std	Learning_rate	Time
24	0.3388		0.3724		0.3746		0.0324		0.0332		0.0515		17.3053		17.2311		16.7075		1.1731		1.1230		1.4249		9.8329		8.5091		8.4119		0.2591		0.2596		0.2130		0.0100		1060.8416
25	0.3351		0.3662		0.3653		0.0302		0.0394		0.0370		17.3423		17.2542		16.8083		1.1607		0.9459		1.0644		9.8864		8.8288		8.6708		0.2533		0.1653		0.1873		0.0100		1053.4922
26	0.3308		0.3851		0.3918		0.0275		0.0397		0.0560		17.3192		17.5998		16.8794		1.2230		1.0093		1.2851		9.9002		8.6206		8.5112		0.2868		0.1304		0.2208		0.0100		1057.4552
27	0.3306		0.4131		0.4188		0.0328		0.0284		0.0380		17.2902		17.0980		16.5370		1.2578		1.0998		1.4865		9.9441		8.1659		8.2410		0.2732		0.2288		0.2135		0.0100		1064.9040
28	0.3287		0.4062		0.4177		0.0339		0.0223		0.0448		17.3350		17.3588		16.9832		1.1945		0.8519		1.0980		10.0071		7.1401		6.9716		0.2818		0.1596		0.2296		0.0100		1069.4221
29	0.3265		0.3733		0.3842		0.0324		0.0300		0.0332		17.1772		17.5696		16.7788		1.2431		1.2590		0.9742		10.0309		8.1851		7.9941		0.2842		0.1491		0.2776		0.0100		1067.9775
30	0.3238		0.3685		0.3871		0.0333		0.0356		0.0478		17.3012		17.5464		16.7318		1.1974		1.0156		1.2158		10.0752		8.0314		7.8644		0.2776		0.1209		0.2143		0.0100		1064.1163
31	0.3192		0.4099		0.4232		0.0318		0.0284		0.0326		17.3100		17.4855		16.5556		1.2240		1.0150		0.9977		10.1274		6.8173		6.6904		0.2695		0.1584		0.1774		0.0100		1062.8736
32	0.3188		0.3369		0.3495		0.0315		0.0323		0.0432		17.2500		17.2234		16.7750		1.2074		1.1478		1.0429		10.1242		9.4461		9.3722		0.2923		0.2719		0.2342		0.0100		1064.2743
33	0.3124		0.3604		0.3714		0.0281		0.0300		0.0418		17.2720		17.6846		16.8478		1.2404		1.5915		0.9962		10.2070		8.2057		8.0035		0.2915		0.2275		0.2335		0.0100		1052.8756
34	0.3129		0.3673		0.3738		0.0305		0.0282		0.0321		17.2166		17.3173		16.8878		1.1913		1.2897		1.0442		10.1909		8.3694		8.2587		0.2714		0.2079		0.2788		0.0100		1058.3355
35	0.3114		0.3536		0.3523		0.0316		0.0390		0.0302		17.3195		17.3479		16.7011		1.3880		1.0852		1.5119		10.2642		8.5238		8.5411		0.2856		0.1980		0.2898		0.0100		1066.4990
36	0.3091		0.3883		0.3775		0.0289		0.0927		0.0348		17.4138		17.3677		16.3376		1.2394		0.9449		1.4355		10.3068		7.8047		7.6877		0.2685		0.1939		0.2343		0.0100		1059.7638
37	0.3057		0.4094		0.3993		0.0291		0.0330		0.0356		17.3630		17.4689		16.6480		1.1815		1.1414		1.1355		10.3461		7.0887		7.1306		0.2673		0.1835		0.1986		0.0100		1057.1557
38	0.3078		0.4028		0.4045		0.0295		0.0302		0.0338		17.3199		17.4631		16.2817		1.3178		1.0394		1.3282		10.3911		8.2325		8.1731		0.2920		0.1664		0.2622		0.0100		1069.2395
39	0.3052		0.3457		0.3614		0.0329		0.0304		0.0417		17.3552		17.6009		16.4776		1.1442		1.2482		1.2817		10.3921		9.3026		9.1154		0.2769		0.2321		0.3067		0.0100		1060.8186
40	0.3050		0.3495		0.3537		0.0311		0.0406		0.0505		17.2640		17.4800		16.4326		1.1926		1.1628		1.2496		10.4078		9.0406		9.0193		0.2512		0.2653		0.2226		0.0100		1060.2029
41	0.2988		0.4263		0.4375		0.0292		0.0317		0.0485		17.3060		17.4659		16.7165		1.1716		1.2439		1.2216		10.4810		7.2035		7.1405		0.2811		0.2083		0.2190		0.0100		1059.7273
42	0.2970		0.3634		0.3674		0.0331		0.0310		0.0261		17.2554		17.4061		16.7788		1.1598		0.9327		0.9239		10.4849		8.4883		8.4086		0.2488		0.1642		0.2703		0.0100		1058.4076
43	0.2995		0.3539		0.3695		0.0308		0.0366		0.0411		17.2764		17.6250		16.6119		1.1874		1.2607		1.1080		10.4939		8.8298		8.6928		0.2739		0.1535		0.2161		0.0100		1058.1457
44	0.2996		0.4133		0.4100		0.0306		0.0419		0.0422		17.2852		17.0291		16.4740		1.1610		1.0108		1.1971		10.5315		6.8455		6.8021		0.2693		0.1966		0.2076		0.0100		1057.5690
45	0.2947		0.3907		0.3972		0.0294		0.0265		0.0321		17.2315		17.5740		16.4078		1.1380		1.0333		1.1562		10.5577		7.6689		7.5598		0.2993		0.1998		0.2280		0.0100		1059.0908
46	0.2925		0.4077		0.4148		0.0286		0.0250		0.0447		17.2986		17.2240		16.6289		1.2514		0.9990		1.0807		10.5932		6.7618		6.6337		0.2902		0.1613		0.2609		0.0100		1066.7310
47	0.2937		0.3742		0.3758		0.0304		0.0299		0.0420		17.2496		17.0112		16.7900		1.1158		0.9797		1.1474		10.6144		7.7747		7.7388		0.2963		0.1824		0.2923		0.0100		1069.2668
48	0.2856		0.3460		0.3603		0.0270		0.0253		0.0353		17.3089		17.7848		16.2411		1.1945		1.4983		1.1799		10.6616		8.3342		8.1685		0.2700		0.2458		0.2726		0.0100		1059.8600
49	0.2909		0.3668		0.3808		0.0305		0.0299		0.0506		17.3281		17.1269		16.4678		1.1810		0.9783		1.6035		10.6895		8.0856		8.0741		0.2844		0.2047		0.2555		0.0100		1052.8799
50	0.2587		0.2699		0.2740		0.0274		0.0421		0.0415		17.2386		17.5552		16.6670		1.2063		1.1879		1.2011		11.0740		11.1562		11.0235		0.2712		0.2611		0.3361		0.0010		1065.8740
51	0.2542		0.2681		0.2699		0.0288		0.0281		0.0386		17.1863		17.3834		16.6967		1.2172		0.9427		1.2028		11.1396		11.2118		11.1492		0.2531		0.2642		0.2557		0.0010		1065.3616
52	0.2516		0.2647		0.2690		0.0285		0.0318		0.0322		17.3153		17.4937		16.4621		1.1976		1.0764		1.0329		11.1684		11.3295		11.2778		0.2548		0.2951		0.2945		0.0010		1066.6201
53	0.2516		0.2668		0.2742		0.0256		0.0280		0.0469		17.2212		17.4725		16.6005		1.1103		0.8916		1.0766		11.1985		11.2569		11.2023		0.2650		0.2786		0.2461		0.0010		1059.5421
54	0.2492		0.2682		0.2711		0.0259		0.0264		0.0458		17.3069		17.2495		16.6319		1.1417		1.1721		1.1838		11.2188		11.2030		11.1850		0.2544		0.2515		0.2561		0.0010		1068.3511
55	0.2489		0.2591		0.2786		0.0280		0.0352		0.0423		17.3170		17.5122		16.2912		1.2403		1.0808		1.5404		11.2244		11.2083		11.1389		0.2687		0.2547		0.3333		0.0010		1067.3524
56	0.2468		0.2617		0.2700		0.0249		0.0273		0.0431		17.4055		17.3155		16.7282		1.1777		1.1476		1.4224		11.2700		11.3009		11.3196		0.2502		0.3017		0.2793		0.0010		1066.9484
57	0.2472		0.2671		0.2666		0.0267		0.0296		0.0480		17.2365		17.2836		16.6947		1.1616		1.3680		1.0437		11.2448		11.2437		11.2238		0.2654		0.2379		0.2200		0.0010		1061.2740
58	0.2458		0.2651		0.2654		0.0252		0.0306		0.0313		17.2961		17.3370		16.6463		1.1864		1.2004		1.0360		11.2575		11.2832		11.2263		0.2734		0.2989		0.2629		0.0010		1058.4754
59	0.2470		0.2597		0.2700		0.0269		0.0279		0.0406		17.3265		17.5602		16.7095		1.1738		1.0497		1.0569		11.2665		11.1159		11.1240		0.2743		0.2461		0.2646		0.0010		1063.8057
