Parameters: 2669854
Epoch	Loss(Tr)	Loss(Ts)	Loss(val)	Loss(val1)	Loss(val2)	Loss(val3)	Loss(val_f)	Learning_rate	i_t_mean	i_t_std		i_d_mean	i_d_std
0	0.7445		0.5093		0.5006		0.2081		0.0717		0.0536		0.1672		0.0100		19.2401		14.3538		6.0117		3.5248
1	0.4411		0.4387		0.4144		0.1890		0.0503		0.0344		0.1407		0.0100		14.6967		11.6143		6.8196		2.6286
2	0.3562		0.3642		0.3549		0.1539		0.0277		0.0186		0.1547		0.0100		16.6744		12.4909		8.0244		2.9663
3	0.3000		0.3255		0.2830		0.1261		0.0376		0.0254		0.0938		0.0100		16.5744		11.9283		8.5961		3.5656
4	0.2769		0.3026		0.2901		0.1260		0.0374		0.0258		0.1009		0.0100		19.4033		13.8332		9.5907		3.5177
5	0.2623		0.2848		0.1872		0.0847		0.0212		0.0147		0.0666		0.0100		16.0877		12.7606		8.9920		4.5074
6	0.2541		0.3062		0.2842		0.1230		0.0348		0.0254		0.1010		0.0100		16.3476		11.1165		8.6900		4.1161
7	0.2474		0.2895		0.2478		0.1117		0.0256		0.0172		0.0933		0.0100		18.2204		13.5805		9.3729		4.0207
8	0.2399		0.2760		0.2779		0.1241		0.0332		0.0229		0.0977		0.0100		17.8839		11.9628		9.7942		3.7891
9	0.2352		0.2563		0.2169		0.0929		0.0201		0.0142		0.0896		0.0100		18.6141		13.2136		9.3098		4.8321
10	0.2302		0.2668		0.2575		0.1171		0.0275		0.0204		0.0926		0.0100		19.3547		14.1256		10.0337		3.6409
11	0.2261		0.2694		0.2299		0.0942		0.0321		0.0239		0.0796		0.0100		17.0389		12.8670		9.5505		4.0321
12	0.2207		0.2576		0.2521		0.1111		0.0272		0.0197		0.0941		0.0100		17.7112		12.9532		10.5597		3.9186
13	0.2149		0.2667		0.2377		0.1105		0.0262		0.0183		0.0827		0.0100		16.7715		12.9325		9.5296		3.7499
14	0.2104		0.2653		0.2144		0.0993		0.0194		0.0136		0.0821		0.0100		18.1957		13.1688		10.3408		4.0812
15	0.2045		0.2544		0.2583		0.1143		0.0257		0.0184		0.0999		0.0100		20.9366		13.8734		9.7205		4.5637
16	0.2012		0.2497		0.2082		0.1008		0.0193		0.0125		0.0757		0.0100		15.9382		11.4298		10.3405		3.7928
17	0.1972		0.2246		0.1674		0.0762		0.0185		0.0126		0.0602		0.0100		16.2249		12.4721		10.6801		3.7495
18	0.1955		0.2128		0.1489		0.0677		0.0164		0.0113		0.0535		0.0100		15.8096		12.5166		10.4790		4.5610
19	0.1934		0.2296		0.1943		0.0848		0.0230		0.0164		0.0700		0.0100		16.9026		14.2639		10.4392		4.1668
20	0.1901		0.2731		0.2423		0.1099		0.0188		0.0126		0.1009		0.0100		17.1918		15.4557		9.1566		3.8532
21	0.1881		0.2332		0.1491		0.0691		0.0135		0.0089		0.0576		0.0100		18.6106		13.6985		10.9970		3.8632
22	0.1862		0.2258		0.2398		0.1052		0.0286		0.0209		0.0850		0.0100		17.5590		11.7787		10.7048		3.9735
23	0.1828		0.2290		0.1985		0.0933		0.0156		0.0104		0.0792		0.0100		17.7547		14.0074		10.2432		4.0121
24	0.1820		0.2163		0.1866		0.0788		0.0238		0.0184		0.0655		0.0100		18.4339		13.9377		10.9497		3.9275
25	0.1806		0.2145		0.2493		0.1130		0.0268		0.0185		0.0910		0.0100		16.2209		11.9353		10.5554		4.5354
26	0.1798		0.2329		0.3348		0.1530		0.0348		0.0224		0.1245		0.0100		17.2480		12.2143		10.3350		4.5378
27	0.1756		0.2285		0.1478		0.0682		0.0137		0.0093		0.0565		0.0100		19.6883		16.0738		10.5676		4.3013
28	0.1747		0.2154		0.2775		0.1283		0.0243		0.0172		0.1077		0.0100		15.8862		11.8227		11.1771		3.9409
29	0.1734		0.2438		0.1544		0.0701		0.0152		0.0101		0.0590		0.0100		17.5828		14.4627		10.1470		4.0563
30	0.1718		0.2714		0.2629		0.1129		0.0245		0.0168		0.1087		0.0100		16.0127		12.9033		9.4482		3.9520
31	0.1692		0.2307		0.2149		0.0924		0.0173		0.0113		0.0939		0.0100		15.8969		11.6938		10.3820		4.5630
32	0.1699		0.2322		0.1931		0.0895		0.0145		0.0096		0.0795		0.0100		19.0301		12.6396		10.5945		3.3635
33	0.1670		0.2892		0.2655		0.1171		0.0215		0.0151		0.1118		0.0100		16.3910		12.8488		8.7077		3.7103
34	0.1680		0.2089		0.1586		0.0756		0.0162		0.0110		0.0559		0.0100		16.3230		13.0067		11.2287		4.2482
35	0.1660		0.2831		0.3137		0.1339		0.0280		0.0197		0.1322		0.0100		18.2358		14.0752		9.4932		3.5358
